term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
accusations,0.12160592860795463,0.05,0.05000000110307937,0.05,0.05,0.05,0.05,4.884936345282899,0.05,0.05,0.05,0.05,0.05000000062758133,0.05,1.1434577240329968,0.05,1.050000000017781,0.05000000023665976,0.05,0.05000000006465614
achievement,0.050000019729170064,0.05,0.05,0.05,0.05,0.05,0.05,3.742123248162266,0.05,0.05,1.0062473067040099,0.05,0.05000000024398231,0.05,2.401629424945168,0.05,0.05,0.05,0.05,0.05000000019003451
act,3.33048913057665,1.5409917626378267,1.1430733425295998,0.05,0.05,0.05,0.05,4.295800471458571,0.05,0.20435290284489588,0.05000000011404294,0.05,4.377505849952611,0.05,4.570969745942746,0.05000000009809024,1.196476353897028,0.05000000160991484,0.05000000003674974,3.7903404382652157
action,2.0754785193496126,2.817757417369207,2.742586739487347,0.05,0.05,1.5475649880919151,0.05,3.0398837179997553,0.05000000006351412,1.7926741874779883,0.24892553062086215,0.05,2.8469508631183222,2.015683386134061,6.026549037959545,0.050000000241201714,1.0698815882577695,0.050000079162925155,0.05000000002533154,8.376063944603228
actions,0.5469697806326155,0.05000000072073323,0.05,0.05,0.05,0.05,0.05,0.8166728810959905,0.05,0.05000000071765974,1.9194111493922916,0.05,1.5596676471519886,1.0893053429111816,2.36797319554029,0.05000000160160639,0.05,0.05,0.05,0.050000000203641544
activity,0.05000000008352433,0.0500000006307218,0.7660502663547532,0.05,0.05,0.05,0.05,0.05001338385794844,0.05,0.050000000661358505,0.05000000043424713,0.05,2.0499941991625645,1.0786926789049136,6.305249468010173,0.05,0.0500000002453481,0.05000000165113723,1.049999999705229,0.05000000027551163
ad,0.05000000003107365,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000673265178,0.05,0.05,0.05000000051670165,0.05,0.05,0.05,1.0533544976440157,0.05,1.0499999994106837,0.05,0.05,6.046645495602131
addition,0.05,0.050013446693325775,0.05,0.05,0.05,0.05,0.05,3.8662554630462793,0.05,0.13381294140164773,3.7183866015851543,0.05,0.8765800952569944,0.05,2.4988088384275593,0.0500000007226271,0.05,0.05000000010122604,0.05,0.20614261272198392
address,1.7303884354851686,0.05,0.05,0.05,0.050000037784827554,0.05,0.05,6.688004440082003,0.05,0.05,0.05,0.05,1.0499999999958651,0.05,1.1872396851568423,0.05,0.0500000002049677,0.05,0.05,0.594367401247974
admiration,0.05000000010474742,2.0470138690098802,0.05,0.05,0.05,1.6276698256145343,0.05,3.3000759017669705,0.050000000490421206,0.8978474932131973,0.05000000004426561,0.05,0.05000000042460014,0.05,1.2174391640975277,0.05,1.0921022454858476,0.05,0.05,1.1678514997111407
admirers,0.050000000149907645,0.05,2.9770699361030606,0.05,0.05,0.05000000081550827,0.05,0.5300030091783331,0.05,0.050000000424724314,0.05,0.05,0.05000000031867146,0.05000000024847422,0.05,0.05,2.0416473050647608,0.05,0.05,2.6512797476774828
adult,0.05,0.6534557343474355,0.05,0.05,0.05,0.05000000080024722,0.05,6.327528421528156,0.05,0.05000000010219524,0.28635402611918875,0.05,1.1917307648865456,0.05000000016666192,0.3305929775730907,0.05,0.5598874980862789,0.05,0.05,1.0004505763495042
adults,0.05,0.05,1.050000000024969,0.05,0.05,0.05,0.05,0.050000000226415084,1.0500000000303136,0.05,0.050000000422714894,0.05,2.758746048316253,0.05,0.34125395080656723,0.05,2.0499999994991307,0.05,0.05,0.05000000065295229
advantage,1.6347201799190327,1.0499999999718164,0.05,0.05,1.050000000091177,0.05,0.05,2.8543980463062155,0.05,0.05000000234544839,1.3133151730967851,0.05,3.888179178632316,2.0180482609849997,7.872090711161601,0.05000000015271734,2.5918193579277826,1.1883426608004835,0.05,0.08908642857231604
adventure,0.05000000004781134,0.05000000052709211,0.050000000311714664,0.05,0.05,0.050000001193844644,0.05,7.64466102918227,0.05,1.8108870341208512,0.5240178832851079,0.05,0.05000000032049394,0.05,5.2084154684787505,0.050000000160141764,0.05,0.0500000005269636,0.05,1.0620185818111367
