title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity
Harry Potter and the Philosopher's Stone,0.001449191071414234,0.0010237685090302138,0.001132822226852339,0.0015981792740094364,0.0011179898676199058,0.001247527380776196,0.0007565298912838595,0.0011620972033643674,-0.0008641656747141159
Harry Potter and the Chamber of Secrets,0.0013113904821266344,0.000891494423211156,0.0011245802984824861,0.0016311285319684434,0.0010767344264891632,0.0012847484969560525,0.000735089878441095,0.0012651782699937674,-0.0008190054075044211
Harry Potter and the Prisoner of Azkaban,0.0013327823649306302,0.000897500342052783,0.0011059739194840405,0.0016805240809950165,0.0008937860765204116,0.0013762007771240712,0.0007623376124656488,0.0011915359350728285,-0.0009587113356337655
Harry Potter and the Goblet of Fire,0.0013953437506896477,0.0009539539164304094,0.0009847654006419943,0.0015345632056428856,0.0009561088264300261,0.0013304788904234058,0.0006773659891772519,0.0012534589301618755,-0.000784681153085893
Harry Potter and the Order of the Phoenix,0.001065297607251169,0.0007721859203692321,0.0008519839493613599,0.0012742150082719938,0.000710306552237828,0.0010429960942153645,0.0005274590579768552,0.0009522794467582546,-0.0007509799082093581
Harry Potter and the Half-Blood Prince,0.0012978520886382803,0.0009517851218670953,0.0010286658969851613,0.0014956131742856588,0.0009858294353660565,0.0012956662021409713,0.0007046903539283121,0.0012019199591131004,-0.000756384117308553
Harry Potter and the Deathly Hallows,0.00122111412549965,0.0008101696616998103,0.0009692823378317021,0.0015232975680241467,0.0008343321717408362,0.001228906494827627,0.0006138856178700972,0.0010252838739511821,-0.0009128475528448455
