term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
nearest,0.006324899783002458,0.002712061136028238,0.017392659196854978,0.014976830961172917,0.018235447852080026,0.01692934612764824,0.007477022731110482,0.002897926845512766,-0.022515399979197513,-0.014983653575069564
pretty,-0.011769913979298528,0.012367714910073468,-0.009680473313454726,-0.0313983997997591,-0.006140644702136445,-0.020198968344369312,-0.016371389077967344,-0.04692014883667043,-0.018121322469298887,-0.012619163461493641
facing,0.0003609087085877682,-0.009461337631421242,0.007551496672275842,-0.0058038728163937675,0.03213367691527691,-0.018317272571567532,0.004547844065839905,-0.03742700804626756,-0.03684330088650487,0.0037306737951195
potion,0.018753471858722275,0.08146537356299323,0.050545744137299196,-0.12764668985849711,0.03823988896776308,-0.027459061219930955,0.040598855179354666,0.024390110768637986,-0.019421696359167614,0.19003359883217458
softly,0.013282217854133435,-0.012290396421653143,0.018645135522397827,-0.04176249626368057,0.03097607882048467,-0.02391827158634451,0.002271841707120773,0.005206320477152076,0.01203366495413537,0.015837655331655334
potions,-0.033982204085381135,0.1065677325422789,0.0015747175525026697,-0.08653931227844912,0.06466997169847015,-0.05256816824001068,0.03321456262649712,-0.0285849286453074,0.02726641928313059,0.02900044597056699
anger,0.01619611235950775,-0.005934095276636244,-0.011692363091612595,-0.0026607838181621456,-0.010746181113056932,-0.017396472436454206,-0.02091016162644727,-0.010652775816290042,0.002347375958885313,-0.0013198482402029593
putting,-0.013398414706009108,0.02937350001295033,-0.0005115887685906295,0.011974344487142937,0.011030319190281322,-0.012329943270373761,-0.00196639175254808,-0.008299338960632582,0.0055860264361553905,0.015265503514572709
leg,0.017125187286225724,-0.0030492562709570482,0.004201064667913603,0.03321238895237937,0.013623967851614505,-0.014535552229432211,0.032227572473394264,0.07119567370507174,-0.029470754467470228,0.007077300272003972
headmaster,0.0027460952632850475,0.003649284470887798,-0.005204701871831426,-0.0438852161779066,0.030529702441019633,0.0062214468804217965,-0.06307914602654838,0.014457023438862668,0.03877711973880252,0.00870622562909155
secret,-0.005194879157203118,-0.0020203618035352414,0.0021583436544282053,-0.0009292667512254864,-0.012024186363417696,-0.02219318625473513,-0.02095492287811333,0.004170570600647589,0.009553290334125,0.02053539569665338
throwing,-0.007129507661360419,0.0008967241792848839,-0.006178052558753436,0.0032662514799106403,0.0031756076032748164,-0.0012585208272149113,-0.0019927630004936982,-0.010471679780593478,-0.0038358277417589234,-0.0043917239827339204
fixed,0.009169984739835883,-0.010722893446979817,0.02069925517009925,-0.017469869152685828,0.004920638301459367,0.005857390743381923,-0.004825299461161192,0.01559822051339889,0.011805954716458606,0.03353220798605479
poor,-0.005954049879107099,0.003225605107583349,-0.02536770907290675,-0.026603053754650115,-0.02490907914171255,0.009402902901407153,-0.019492004680234088,-0.0040541851190139064,0.022141263138828658,-0.01123737578238156
